,0,1,2,3
R.Index_P_e_x,46.75049972526,32.193828201319995,30.729219436660003,29.6803035736
R.Index_P_e_y,342.5842407228,364.651324463,363.7490600588,365.41177368175005
R.Index_P_e_z,-28.13052978518,-64.02300186155999,-62.18437423706,-62.28984069824999
R.Index_P_d_x,0.7823420792816,0.9189121961593999,0.9323195338248,0.93227982521075
R.Index_P_d_y,-0.5052920401093999,-0.38679910302160003,-0.35382947325720004,-0.35947886109325
R.Index_P_d_z,-0.019550908356820003,-0.07694531977176,-0.0709170155227,0.021200904622667494
R.Index_I_s_x,46.75049972526,32.193828201319995,30.729219436660003,29.6803035736
R.Index_I_s_y,342.5842407228,364.651324463,363.7490600588,365.41177368175005
R.Index_I_s_z,-28.13052978518,-64.02300186155999,-62.18437423706,-62.28984069824999
R.Index_I_e_x,42.759183120719996,28.74388656618,27.169274902359994,24.168346881875003
R.Index_I_e_y,342.0291931152,358.9897399904,357.8723999022,359.58790588375
R.Index_I_e_z,-12.835632324280002,-44.511386871320006,-42.7590843201,-43.32287597655
R.Index_I_d_x,0.19367952346779999,0.1674092054368,0.17274712324139999,0.267468955368
R.Index_I_d_y,0.02693391442319998,0.27472968101500006,0.28516628742219996,0.282604508102
R.Index_I_d_z,-0.74218841642134,-0.9468055725098001,-0.9426166415214002,-0.92037625610825
R.Index_D_s_x,42.759183120719996,28.74388656618,27.169274902359994,24.168346881875003
R.Index_D_s_y,342.0291931152,358.9897399904,357.8723999022,359.58790588375
R.Index_D_s_z,-12.835632324280002,-44.511386871320006,-42.7590843201,-43.32287597655
R.Index_D_e_x,46.88925323486,34.93805770874,33.59112319948,29.759973526
R.Index_D_e_y,339.22694702139995,352.0434570312,351.0455322266,352.68264770524996
R.Index_D_e_z,-4.0286933898,-33.305333709699994,-31.60889549256,-31.785853385924998
R.Index_D_d_x,-0.28351663351039996,-0.4252109348776,-0.4408402025702,-0.38384792208674995
R.Index_D_d_y,0.1923656284808,0.4768411159514,0.46864354610439996,0.47402469068749997
R.Index_D_d_z,-0.60456930436198,-0.7692613244056001,-0.7654262781144,-0.7919810414314999
R.Middle_M_s_x,98.83855285646001,94.12653656005999,93.99372711182,93.804643630975
R.Middle_M_s_y,273.60670776359996,304.0064941408,304.3357666014,304.79398345975
R.Middle_M_s_z,-0.967892837620002,-28.649384307859997,-27.20104141238,-25.909914970400003
R.Middle_M_e_x,68.59224853522001,60.11367721557999,59.6679664612,59.075661659225
R.Middle_M_e_y,308.768963623,332.452734375,332.73822021499996,334.3955841065
R.Middle_M_e_z,-37.012463378839996,-72.9222946167,-71.2593521118,-68.846235275275
R.Middle_M_d_x,0.4827115774156,0.5428234100340001,0.5478171348574,0.55425234138975
R.Middle_M_d_y,-0.5611670076848,-0.45398374199860003,-0.4532849550244,-0.47242259979275003
R.Middle_M_d_z,0.57524817883958,0.7065672397614,0.7031423687936,0.6852362155915
R.Middle_P_s_x,68.59224853522001,60.11367721557999,59.6679664612,59.075661659225
R.Middle_P_s_y,308.768963623,332.452734375,332.73822021499996,334.3955841065
R.Middle_P_s_z,-37.012463378839996,-72.9222946167,-71.2593521118,-68.846235275275
R.Middle_P_e_x,38.08644599914,24.843622970600002,23.86886444092,22.823719024674997
R.Middle_P_e_y,330.568182373,350.0534240724,349.23112792959995,349.743309021
R.Middle_P_e_z,-29.255191040139998,-61.299822235099995,-59.63888397218,-57.056475639325
R.Middle_P_d_x,0.7423064827917999,0.8582363963126,0.8711098670958,0.8821288198235
R.Middle_P_d_y,-0.5304466784,-0.4282826602458,-0.40132668614379996,-0.373460561037
R.Middle_P_d_z,-0.18875993490200002,-0.28281297087679996,-0.282764208317,-0.286883570254
R.Middle_I_s_x,38.08644599914,24.843622970600002,23.86886444092,22.823719024674997
R.Middle_I_s_y,330.568182373,350.0534240724,349.23112792959995,349.743309021
R.Middle_I_s_z,-29.255191040139998,-61.299822235099995,-59.63888397218,-57.056475639325
R.Middle_I_e_x,37.17698707582,25.47993202212,24.38335762022,22.959171772
R.Middle_I_e_y,330.8622131348,345.1276916504,343.83383178699995,343.3231658935
R.Middle_I_e_z,-11.238657379160001,-37.56913909912,-36.00936660768,-33.679529190025
R.Middle_I_d_x,0.03751111887388,-0.026244900003080003,-0.021220541186600002,-0.005586819315797499
R.Middle_I_d_y,-0.012127488851400015,0.2031644105912,0.2226143121718,0.264802161604
R.Middle_I_d_z,-0.7431013524532,-0.9787844300269999,-0.9746118545533999,-0.96419437229625
R.Middle_D_s_x,37.17698707582,25.47993202212,24.38335762022,22.959171772
R.Middle_D_s_y,330.8622131348,345.1276916504,343.83383178699995,343.3231658935
R.Middle_D_s_z,-11.238657379160001,-37.56913909912,-36.00936660768,-33.679529190025
R.Middle_D_e_x,43.32246475219999,34.43010025024,33.40579986572,31.902993679025
R.Middle_D_e_y,327.91101684600005,337.941900635,336.6326782226,335.774131775
R.Middle_D_e_z,-2.938654327400001,-26.39046516418,-24.8987312317,-22.7383327484
R.Middle_D_d_x,-0.3835606336596,-0.55861120224,-0.563122010231,-0.55821491777875
R.Middle_D_d_y,0.1841945588588,0.44849026203160003,0.44944904446620004,0.47116138041025
R.Middle_D_d_z,-0.5180319994689999,-0.6976999998091999,-0.6934534192085999,-0.6828779876229999
