,0,1,2,3,4,5,6
R.Thumb_I_e_y,247.6875000002,229.559994507,228.7038330076,228.69847412139998,227.89778747559998,227.7186523438,227.89503479
R.Thumb_I_e_z,57.90856819152,25.20796165468,25.162445449799996,24.97621688844,25.39887809752,25.39342193604,25.426283836350002
R.Thumb_I_d_x,-0.056028974056199984,-0.3092541515826,-0.3051003158094,-0.294751483202,-0.2966182410718,-0.3059937000274,-0.309510782361
R.Thumb_I_d_y,0.20921390652660002,0.35351285934460003,0.36860020756699996,0.3680283546448,0.3747000575064,0.3758198440074,0.380739033222
R.Thumb_I_d_z,0.72680049240602,0.882798445225,0.8780749678612001,0.8818575501442,0.8784159779548,0.8747078180313999,0.871343880892
R.Thumb_D_s_x,-11.894779682158,4.949370288848,3.6995815753960004,3.6659194946280005,4.497171020508,5.030941390992,4.685503959655
R.Thumb_D_s_y,247.6875000002,229.559994507,228.7038330076,228.69847412139998,227.89778747559998,227.7186523438,227.89503479
R.Thumb_D_s_z,57.90856819152,25.20796165468,25.162445449799996,24.97621688844,25.39887809752,25.39342193604,25.426283836350002
R.Thumb_D_e_x,-6.604580688499999,16.43415565492,15.40834827422,14.93953151702,15.624064445480002,16.64502983094,16.53899383545
R.Thumb_D_e_y,239.2546569822,218.45938720680002,217.32776184059998,217.26229858419998,216.3882354736,216.20736389180001,216.25614929199998
R.Thumb_D_e_z,46.817936897280006,13.209642219540001,13.646570777900001,13.090972900399999,13.446059417719999,13.91802253722,14.32774925235
R.Thumb_D_d_x,-0.264792096615,-0.5748516917230001,-0.5860627174378001,-0.5642818808556,-0.556937968731,-0.581323814392,-0.593306481838
R.Thumb_D_d_y,0.42209188938136,0.5556223034860001,0.5694101929662,0.5724187254906,0.57609128952,0.5761783242226001,0.58256483078
R.Thumb_D_d_z,0.5551230490208001,0.6005557656288,0.5764078259468,0.5948960900308,0.5982782721518001,0.5743819594382,0.555518478155
R.Index_M_s_x,6.371154975892,9.993947029102,9.466571044922,9.931477355968,10.466318702699999,10.6495422363,10.502920150800001
R.Index_M_s_y,266.30153198240004,258.6590637204,258.83731689440003,258.41786499000006,257.9981262207999,258.195477295,258.4962005615
R.Index_M_s_z,106.49990539557999,90.43934173584,89.88089294432,89.8123184204,90.00909729001998,89.8846069336,89.8165779114
R.Index_M_e_x,-6.063541603077999,6.999488258361998,6.670907592772001,6.704224300384001,6.916500663756,7.468630695340001,7.549813508985
R.Index_M_e_y,282.79799804659996,269.4334411622,268.0013977052,268.1986633302,267.7491394044,267.36126709,267.40353393550004
R.Index_M_e_z,53.26318511966,27.598530578600002,26.77166137698,26.81601638796,27.025534439079998,26.793844223040004,26.677359580999997
R.Index_M_d_x,0.1948011174798,0.04691099449990001,0.04379668012262,0.05055793225766,0.05561121627688,0.049831950664519994,0.04626317508515
R.Index_M_d_y,-0.2584325402974,-0.1687906920912,-0.143563887477,-0.15322533547900002,-0.152758732438,-0.1435906589032,-0.1395417004825
R.Index_M_d_z,0.8340029537678,0.9844600319862,0.9886650681496001,0.9868959188462,0.9866963267327999,0.988375735283,0.9891348481175
R.Index_P_s_x,-6.063541603077999,6.999488258361998,6.670907592772001,6.704224300384001,6.916500663756,7.468630695340001,7.549813508985
R.Index_P_s_y,282.79799804659996,269.4334411622,268.0013977052,268.1986633302,267.7491394044,267.36126709,267.40353393550004
R.Index_P_s_z,53.26318511966,27.598530578600002,26.77166137698,26.81601638796,27.025534439079998,26.793844223040004,26.677359580999997
R.Index_P_e_x,-12.419257926938,7.954681491850001,8.132057476042,7.55224981308,7.320651435852,8.963494682312,9.67718744278
R.Index_P_e_y,283.7876220704,272.13092041,269.83321533199995,270.27309570299997,269.54180908179995,268.90492553700005,268.98669433599997
R.Index_P_e_z,25.438895225453997,-8.960332298279999,-9.828335571292,-9.790197753904,-9.603477859498,-9.815919494628,-9.90185689926
R.Index_P_d_x,0.17329722307629997,-0.026044638454899998,-0.03984023258092,-0.023122564330680002,-0.01101971864699,-0.04075949490070001,-0.0580057352781
R.Index_P_d_y,-0.02698344290244,-0.07355042919517998,-0.049946989864080006,-0.056562209129319994,-0.048879569023840004,-0.04208994209768,-0.04316701553765
R.Index_P_d_z,0.7586669772861999,0.9968269705772,0.9979485392572001,0.9981180429458,0.9987396836279998,0.9982148289682001,0.9973819255829999
R.Index_I_s_x,-12.419257926938,7.954681491850001,8.132057476042,7.55224981308,7.320651435852,8.963494682312,9.67718744278
R.Index_I_s_y,283.7876220704,272.13092041,269.83321533199995,270.27309570299997,269.54180908179995,268.90492553700005,268.98669433599997
R.Index_I_s_z,25.438895225453997,-8.960332298279999,-9.828335571292,-9.790197753904,-9.603477859498,-9.815919494628,-9.90185689926
R.Index_I_e_x,-12.785977172858,8.170078468322,8.724381256104,7.678499698638001,7.140628528594,9.388840293891999,10.500580787650001
R.Index_I_e_y,280.8001953126,272.7793640136,270.2265075682,270.52691040039997,269.5111328126,268.6539672852,268.863327026
R.Index_I_e_z,10.706888961820002,-29.58049850466,-30.44919433594,-30.42087135314,-30.235817718520003,-30.441683578499998,-30.518298149099998
R.Index_I_d_x,0.017773207230438,-0.010439300816502,-0.02870720960202,-0.006118751293973999,0.008724881894903998,-0.020614545233546,-0.03990609012545
R.Index_I_d_y,0.1447869315744,-0.03142707906664,-0.0190610654652,-0.012301231082527998,0.0014867374207831996,0.012162791937604,0.005979045992715
R.Index_I_d_z,0.7139925301072,0.9993645906448,0.9993981719015999,0.9998738408088,0.9999545574188,0.999635887146,0.9991840720175
R.Index_D_s_x,-12.785977172858,8.170078468322,8.724381256104,7.678499698638001,7.140628528594,9.388840293891999,10.500580787650001
R.Index_D_s_y,280.8001953126,272.7793640136,270.2265075682,270.52691040039997,269.5111328126,268.6539672852,268.863327026
