,0,1,2,3,4,5,6,7,8
L.Ring_D_e_z,-48.29140625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Ring_D_d_x,-0.14216172695159998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Ring_D_d_y,-0.0630765199662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Ring_D_d_z,0.1257434010506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Pinky_M_s_x,-24.579135131799998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Pinky_M_s_y,34.6377960206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Pinky_M_s_z,-32.270230102599996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Pinky_M_e_x,-21.015995788599998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Pinky_M_e_y,39.2078308106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Pinky_M_e_z,-40.2677337646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Pinky_M_d_x,-0.07215536832800001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Pinky_M_d_y,-0.09254550933840001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Pinky_M_d_z,0.161953485012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Pinky_P_s_x,-21.015995788599998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Pinky_P_s_y,39.2078308106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Pinky_P_s_z,-40.2677337646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Pinky_P_e_x,-19.017683410639997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Pinky_P_e_y,42.650860595800005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Pinky_P_e_z,-44.806259155199996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Pinky_P_d_x,-0.06620167493819999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Pinky_P_d_y,-0.11406341791159999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Pinky_P_d_z,0.1503558516502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Pinky_I_s_x,-19.017683410639997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Pinky_I_s_y,42.650860595800005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Pinky_I_s_z,-44.806259155199996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Pinky_I_e_x,-17.28940429688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Pinky_I_e_y,44.018707275400004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Pinky_I_e_z,-47.314929199199995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Pinky_I_d_x,-0.10350935459140001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Pinky_I_d_y,-0.08192248344419999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Pinky_I_d_z,0.15024819374079998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Pinky_D_s_x,-17.28940429688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Pinky_D_s_y,44.018707275400004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Pinky_D_s_z,-47.314929199199995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Pinky_D_e_x,-15.39889526368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Pinky_D_e_y,44.8005371094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Pinky_D_e_z,-49.43046875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Pinky_D_d_x,-0.128478360176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Pinky_D_d_y,-0.053132891655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Pinky_D_d_z,0.1437713623046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R.hand.palm_position_x,40.12589249761014,49.6925224304,49.96023941040001,50.890755462659996,52.681314849859994,53.0671569824,53.469396972640006,53.84168701172,53.7594566345
R.hand.palm_position_y,205.4078674316,186.39011535639997,185.87602539059998,186.4346710204,188.2473815916,188.9393188478,189.03429565439998,189.26802978519999,189.6962127685
R.hand.palm_position_z,48.212800788920006,12.620154380799999,12.602486801140001,13.23239498138,14.24884147642,14.746874237060002,14.6638742447,14.766590118420002,15.126840829850002
R.pitch,47.547591333700005,39.48894473606,39.644677149059994,40.2750086772,42.14058061414,43.11736461272,43.08585080256,42.82256818054001,43.3175938304
R.roll,-80.65200300820001,-87.52158605746,-87.59493819188,-87.54961715414001,-87.32353652393999,-87.31220660602,-86.90993577996001,-87.05643514313999,-87.133933202425
R.yaw,-32.85853783886,-22.18213685844,-22.04052927678,-21.769057257879997,-20.425946304200004,-19.6092855058,-19.13539263226,-18.82151811546,-18.86133069095
R.Arm direction_x,-0.3933895766734,-0.3162318766116,-0.3093885660172,-0.3032579123972,-0.294431400299,-0.295644056797,-0.2942890524864,-0.2910019695758,-0.289944268763
R.Arm direction_y,0.5400694012639999,0.529670190811,0.530998146534,0.53656886816,0.5533811211586,0.5643881916998001,0.5713806986808001,0.5755882620812,0.57722833752625
R.Arm direction_z,-0.7148646712302,-0.7870452046396,-0.7888679265973999,-0.7874737501146001,-0.7791336536407999,-0.770747232437,-0.7661027789116,-0.7642083644864,-0.7633735388515
R.wrist position_x,66.44581375124,71.43820800782001,71.5004074097,72.04800567626,72.47008819578,72.12040405276,72.28008880616001,72.46073303222,72.27118492125
R.wrist position_y,161.1862640382,143.0281127928,142.3689331054,142.41380310059998,142.67033691420002,142.5271697998,142.5548339846,142.8773742674,142.96944046
R.wrist position_z,83.29805221554,55.44921340942,55.38452835084,55.66668777468,55.66674804688,55.58418502805999,55.559875488299994,55.8693435669,55.88147354125
R.elbow position_x,156.9010162352,144.1519226074,142.64059143080001,141.77851257339998,140.17104492180002,140.100204468,139.9483184814,139.37313232420001,138.94038009625
R.elbow position_y,37.00380401606,21.23682823182,20.27229995728,19.0362487793,15.42700958252,12.75289592746,11.17271232604,10.5277770996,10.242727518075
R.elbow position_z,247.672583008,236.4207916262,236.77521972660003,236.7368011474,234.8191589356,232.8082336428,231.7159912112,231.5898651124,231.41003417975
R.Thumb_M_s_x,58.19815292359999,62.4286529541,62.584939575199996,63.18837585448,63.502554321299996,63.053884887699994,62.89012908936,63.0851257324,63.005435943625
R.Thumb_M_s_y,187.5364562986,170.6239257812,169.9608032228,169.9318786622,169.91965332019998,169.659310913,169.6647979736,170.090838623,170.117340088
R.Thumb_M_s_z,91.306425476,60.85945739745999,60.82602157592,61.34099197386,62.048960876479995,62.356433868420005,62.35279388426001,62.568136596680006,62.76429748535
R.Thumb_M_e_x,58.19815292359999,62.4286529541,62.584939575199996,63.18837585448,63.502554321299996,63.053884887699994,62.89012908936,63.0851257324,63.005435943625
R.Thumb_M_e_y,187.5364562986,170.6239257812,169.9608032228,169.9318786622,169.91965332019998,169.659310913,169.6647979736,170.090838623,170.117340088
R.Thumb_M_e_z,91.306425476,60.85945739745999,60.82602157592,61.34099197386,62.048960876479995,62.356433868420005,62.35279388426001,62.568136596680006,62.76429748535
R.Thumb_M_d_x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R.Thumb_M_d_y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R.Thumb_M_d_z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R.Thumb_P_s_x,58.19815292359999,62.4286529541,62.584939575199996,63.18837585448,63.502554321299996,63.053884887699994,62.89012908936,63.0851257324,63.005435943625
R.Thumb_P_s_y,187.5364562986,170.6239257812,169.9608032228,169.9318786622,169.91965332019998,169.659310913,169.6647979736,170.090838623,170.117340088
R.Thumb_P_s_z,91.306425476,60.85945739745999,60.82602157592,61.34099197386,62.048960876479995,62.356433868420005,62.35279388426001,62.568136596680006,62.76429748535
R.Thumb_P_e_x,29.794159698500003,34.38485641478,34.596855163559994,35.20574264528,36.039540863039996,36.18452911376001,36.23576126100001,36.52809524536,36.451219558725
R.Thumb_P_e_y,217.17727356,200.6468353272,200.00624694840002,199.9493286132,200.43178100580002,200.789526367,200.9971221924,201.4831726074,201.57320404025
R.Thumb_P_e_z,85.26199798578,49.937551879880004,49.8208679199,50.24589538573999,51.01181106568001,51.58179855346,51.62882690432,51.77813949584,52.154719352724996
R.Thumb_P_d_x,0.6681574463844,0.659684383869,0.6583737969400001,0.6582455515860001,0.6460223555564,0.6320575714109999,0.6270003318786,0.6247106552121999,0.6246444135904999
R.Thumb_P_d_y,-0.697251701355,-0.7062397956848001,-0.7067698240278,-0.7061112880708,-0.7177477598191999,-0.732287311554,-0.7370415806767999,-0.7384532570839999,-0.7399476468565
